Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6
00:02,37.5,0.078,0.115,0.3,0.116,0.385
00:19,75,0.075,0.113,0.04,0.111,0.414
00:36,0.3,0.069,0.114,0.142,0.111,0.381
00:52,0.3,0.078,0.113,0.3,0.111,0.401
01:09,0.3,0.073,0.114,0.025,0.11,0.387
01:25,5.357,0.075,0.113,0.3,0.109,0.405
01:42,0.272,0.073,0.112,0.276,0.109,0.375
01:59,0.3,0.077,0.111,0.3,0.112,0.395
02:15,0.3,0.074,0.112,0.3,0.109,0.408
02:32,0.3,0.075,0.11,0.3,0.112,0.399
02:49,0.023,0.074,0.11,0.414,0.11,0.403
03:05,0.3,0.074,0.11,1.364,0.111,0.387
03:22,0.3,0.075,0.11,0.581,0.111,0.412
08:55,0.3,0.3,0.3,0.3,0.3,0.3
09:12,0.026,0.408,0.346,0.3,0.203,0.882
09:29,0.111,0.305,0.292,0.226,0.22,0.893
09:45,0.3,0.377,0.321,0.3,0.244,1.119
10:02,12.5,0.355,0.332,0.641,0.249,1.154
10:19,0.3,0.397,0.339,0.3,0.235,1.087
10:35,0.3,0.431,0.35,0.3,0.229,0.815
10:52,3.75,0.309,0.344,0.03,0.256,0.962
11:09,0.179,0.401,0.354,0.21,0.253,0.904
11:25,0.3,0.414,0.354,0.063,0.242,1.23
11:42,0.3,0.419,0.368,0.3,0.25,1.271
11:58,0.3,0.446,0.379,0.3,0.251,1.389
12:15,0.3,0.431,0.362,0.517,0.254,1.21
12:32,0.714,0.421,0.373,0.375,0.245,1.154
12:48,0.339,0.395,0.342,0.3,0.244,1.071
13:05,0.05,0.362,0.314,0.099,0.229,1.056
13:22,0.3,0.449,0.341,0.162,0.236,0.843
13:38,0.3,0.323,0.339,0.3,0.244,0.915
14:39,0.136,0.219,0.184,0.136,0.138,0.395
14:56,0.3,0.036,0.067,0.021,0.052,0.157
15:12,0.021,0.026,0.069,0.021,0.056,0.419
15:29,0.021,0.046,0.056,0.021,0.046,0.721
15:46,0.021,0.04,0.046,0.021,0.045,0.399
15:57,0.021,0.048,0.037,0.022,0.053,0.3
16:13,0.048,0.046,0.055,0.021,0.044,0.146
16:30,0.021,0.041,0.043,75,0.042,0.177
16:47,0.021,0.04,0.032,0.207,0.046,0.15
17:03,0.021,0.038,0.045,0.021,0.036,0.119
17:20,0.3,0.048,0.028,0.021,0.027,0.106
17:37,6.818,0.024,0.039,0.021,0.027,0.094
17:53,0.021,0.035,0.025,0.021,0.044,0.112
18:10,0.021,0.034,0.027,0.023,0.046,0.105
18:26,0.021,0.026,0.027,0.127,0.038,0.111
18:43,0.021,0.039,0.021,0.021,0.03,0.126
19:00,0.021,0.035,0.032,0.021,0.043,0.091
19:16,0.021,0.024,0.021,0.021,0.035,0.065
19:33,0.021,0.021,0.025,0.021,0.033,0.034
19:50,0.021,0.022,0.03,0.021,0.031,0.021
20:06,0.021,0.023,0.025,0.023,0.033,0.062
20:23,0.021,0.031,0.021,0.238,0.028,0.023
20:40,0.021,0.024,0.023,0.021,0.025,0.025
20:56,0.021,0.023,0.029,0.021,0.025,0.091
21:13,0.021,0.031,0.028,0.021,0.042,0.039
21:30,0.021,0.025,0.024,0.021,0.033,0.056
21:46,0.021,0.031,0.023,0.021,0.038,0.043
22:03,0.021,0.034,0.024,0.021,0.026,0.065
22:20,0.021,0.025,0.026,0.021,0.027,0.021
22:36,0.021,0.032,0.023,0.021,0.027,0.021
22:53,0.021,0.029,0.025,0.021,0.029,0.068
23:10,0.021,0.021,0.023,0.021,0.026,0.027
23:26,0.021,0.025,0.024,0.021,0.029,0.022
23:43,0.021,0.022,0.025,0.021,0.026,0.043
23:59,0.021,0.028,0.021,0.021,0.024,0.025